LastUpdatedTime,Location Name,Address,Postal Code,Latitude,Longitude,Operator,Charging Point Name,Position,Operating Hours,CP Status,Plug Type,Current,Power Rating (kW),Price,Price Type,EV CP ID,EV ID Status
2026-09-09 13:30:00,CLARKE QUAY,3E RIVER VALLEY ROAD SINGAPORE 179024,179024,1.290314,103.846728,SP MOBILITY PTE. LTD.,CLARKE QUAY,L4 49,,1,Type 2,AC,22,0.8066,kWh,R114859D-001,1
2026-09-09 13:30:00,CLARKE QUAY,3E RIVER VALLEY ROAD SINGAPORE 179024,179024,1.290314,103.846728,SP MOBILITY PTE. LTD.,CLARKE QUAY,L4 50,,1,Type 2,AC,22,0.8066,kWh,R114861R-001,1
2026-09-09 13:30:00,CLARKE QUAY,3E RIVER VALLEY ROAD SINGAPORE 179024,179024,1.290314,103.846728,SP MOBILITY PTE. LTD.,CLARKE QUAY,L4 51 & 52,,1,Combo 2,DC,50,0.8938,kWh,R114858R-001,1
2026-09-09 13:30:00,CLARKE QUAY,3E RIVER VALLEY ROAD SINGAPORE 179024,179024,1.290314,103.846728,SP MOBILITY PTE. LTD.,CLARKE QUAY,L4 51 & 52,,1,Combo 2,DC,50,0.8938,kWh,R114858R-002,1
2026-09-09 13:30:00,BLK 142A PASIR RIS STREET 11 MULTI STOREY CAR PARK,142A PASIR RIS STREET 11 SINGAPORE 511142,511142,1.362839,103.959758,STRIDES YTL PTE. LTD.,BLK 142A PASIR RIS STREET 11 MULTI STOREY CAR PARK,L3A 129,,0,Type 2,AC,7.4,0.6980,kWh,R122902D-001,0
2026-09-09 13:30:00,BLK 142A PASIR RIS STREET 11 MULTI STOREY CAR PARK,142A PASIR RIS STREET 11 SINGAPORE 511142,511142,1.362839,103.959758,STRIDES YTL PTE. LTD.,BLK 142A PASIR RIS STREET 11 MULTI STOREY CAR PARK,L3A 127,,1,Type 2,AC,7.4,0.6980,kWh,R122900G-001,1
2026-09-09 13:30:00,BLK 142A PASIR RIS STREET 11 MULTI STOREY CAR PARK,142A PASIR RIS STREET 11 SINGAPORE 511142,511142,1.362839,103.959758,STRIDES YTL PTE. LTD.,BLK 142A PASIR RIS STREET 11 MULTI STOREY CAR PARK,L3A 128,,1,Type 2,AC,7.4,0.6980,kWh,R122901R-001,1
2026-09-09 13:30:00,BLK 207A BISHAN STREET 23,207A BISHAN STREET 23 SINGAPORE 571207,571207,1.355154,103.848309,SP MOBILITY PTE. LTD.,BLK 207A BISHAN STREET 23,L3B 123,,1,Type 2,AC,7.4,0.6976,kWh,R124122G-001,1
2026-09-09 13:30:00,BLK 207A BISHAN STREET 23,207A BISHAN STREET 23 SINGAPORE 571207,571207,1.355154,103.848309,SP MOBILITY PTE. LTD.,BLK 207A BISHAN STREET 23,L3B 122,,1,Type 2,AC,7.4,0.6976,kWh,R124121C-001,1
2026-09-09 13:30:00,BLK 207A BISHAN STREET 23,207A BISHAN STREET 23 SINGAPORE 571207,571207,1.355154,103.848309,SP MOBILITY PTE. LTD.,BLK 207A BISHAN STREET 23,L3B 124,,1,Type 2,AC,7.4,0.6976,kWh,R124123R-001,1
